subj,exp_id,ses_id,stim,timestamp,x,y,duration,sacc_amplitude,sacc_dur
P07,1,1,tsa03,5.388397,1183.882667,642.645000,0.147802,70.235839,0.016468
P07,1,1,tsa03,5.552667,1228.483200,696.902400,0.016453,1412.389439,0.065751
P07,1,1,tsa03,5.634871,0.000000,0.000000,0.016427,1373.208403,0.049179
P07,1,1,tsa03,5.700477,848.116335,1080.000000,0.509291,12.268335,0.016422
P07,1,1,tsa03,6.226190,835.848000,1080.000000,0.032916,653.455416,0.082174
P07,1,1,tsa03,6.341280,920.640000,432.069218,0.180622,608.240127,0.065678
P07,1,1,tsa03,6.587580,351.375663,217.839979,0.312197,583.534645,0.065668
P07,1,1,tsa03,6.965445,930.795600,148.664700,0.131498,312.099459,0.032807
P07,1,1,tsa03,7.129750,1217.928000,270.980100,0.032936,901.830564,0.065713
P07,1,1,tsa03,7.228399,323.487663,155.763568,0.525595,797.044944,0.033019
P07,1,1,tsa03,7.787013,1120.528255,153.129334,1.445691,512.477024,0.049157
P07,1,1,tsa03,9.281861,1249.918400,649.003200,0.295740,256.032934,0.065645
P07,1,1,tsa03,9.643246,1073.743633,834.786177,1.002135,512.757119,0.065708
P07,1,1,tsa03,10.711089,651.008000,544.588920,0.246456,0.000000,0.065708
P07,1,1,tsq01,0.032968,815.586365,366.175174,0.377861,327.361751,0.032793
P07,1,1,tsq01,0.443622,652.796800,650.191500,0.197118,554.178736,0.065939
P07,1,1,tsq01,0.706679,847.893567,131.489926,1.445556,521.359854,0.082084
P07,1,1,tsq01,2.234319,766.325169,646.429431,0.213582,386.794421,0.016354
P07,1,1,tsq01,2.464255,1150.718118,603.394729,0.558581,447.202373,0.049272
P07,1,1,tsq01,3.072108,722.148431,731.136600,0.640721,365.337915,0.016443
P07,1,1,tsq01,3.729272,941.088711,438.669600,0.443579,260.394834,0.016463
P07,1,1,tsq01,4.189314,1151.211200,592.468200,0.098495,0.000000,0.016463
P07,1,1,tsq02,0.032878,829.314422,392.171789,0.607826,390.192539,0.032857
P07,1,1,tsq02,0.673561,460.051500,266.095969,0.525728,668.953758,0.032749
P07,1,1,tsq02,1.232038,1126.961561,318.346332,0.673599,441.010136,0.049212
